Id,name,short_name,website_url,linkedin_url
120052,Pondfield Capital Management,,,
120053,early-adopter.com LLC,,,
120054,Law office of Thomas T. Hecht,,,
120055,Leaders in Senior Financial Operations Executive in the Greater New York City Area,,,
120056,Gallagher Enterprises,,,
120057,"Thing Daemon, Inc. dba Fancy.com (pre-IPO start up, launched in March 2012)",,,
120058,"Vertro, Inc. (Merged with Inuvo, Inc. (NASDAQ:INUV) via  joint S-1 filings)",,,
120059,Holy Family School,,,
120060,Oakland Innovation,,,
120061,Aliaswire,,http://www.aliaswire.com,
120062,"Linkage, Inc.",,,
120063,Consolidated Communications,,,
120064,Juiceland Brooklyn,,,
120065,Coogan's,,,
120066,Caster's Caravan,,,
120067,Liberal Arts and Science Academy,,,
120068,"Little Citizens , Tenali",,,
120069,New York Organ Donor Network,,,
120070,PRO Rugby,,,
120071,Penn State Teams Sports Office,,,
120072,Arrochar Food Service,,,
120073,Corporate Traveler USA,,,
120074,Elizabeth Maar,,,
120075,Greater Philadelphia Chamber of Commerce,,,
120076,ChargeItSpot,,http://chargeitspot.com,https://www.linkedin.com/company/chargeitspot/
120077,Hazel IT Solutions,,,
120078,Best Textiles\Galey and Lord,,,
120079,HB Moree Companies,,,
120080,"LEASCO Automotive Sales & Leasing, Inc.",,,
120081,WeVeel Toy & Stationery,,,
120082,Wrevel,,http://www.wrevel.com,https://www.linkedin.com/company/wrevel-inc-
120083,RevenueShares,,,
120084,HRC Fund Associates,,,
120085,Bustle.com,,,
120086,CollegeHumor.com / IAC,,,
120087,FiBrick Financial Services,,,
120088,Jin Qiu MD,,,
120089,Rituals,,,
120090,Chang Learning Center,,,
120091,"AppVant Garde Studios, Inc",,,
120092,Interface talent,,,
120093,"Medical Reporting Software (MRS Systems, Inc.)",,http://www.mrsys.com,
120094,Comtron Corporation,,,
120095,Cherry  LTD – BT Division,,,
120096,Exacta International,,,
120097,Anfield Apparel Inc.,,,
120098,American Public Company,,,
120099,Essen Corporate Catering and Special Events,,,
120100,Zaro's Catering and Special Events,,,
120102,Sebastians Catering and Special Events,,,
120104,Senrigan Capital Group,,,
120105,Driving School of Fairfield,,,
120107,VU University Amsterdam,,,
